Title,Condition,Buy Price,Author,Publisher,ISBN
Carpenter's Gothic,Acceptable,8.89,William Gaddis,Penguin Publishing Group,0141182229
"A Curtain of Green, and Other Stories",Good,4.59,Eudora Welty,Mariner Books Classics,0156234920
Poor Richard,Good,20.49,James Daugherty,Beautiful Feet Books,189310303X
The Blythes Are Quoted,Good,32.19,Benjamin Lefebvre,Viking,0670063916
The Second Coming,Good,4.89,Walker Percy,St. Martins Press-3PL,0312243243
Precious Bane,Good,6.29,Mary Webb,University of Notre Dame Press,0268015384
The Unabridged Edgar Allan Poe,Very Good,6.69,Edgar Allan Poe,Running Press Book Publishers,0894712330
Triplanetary,Acceptable,10.29,"E.E. ""Doc"" Smith",Armchair Fiction & Music,1612871909
The Orange Fairy Book,Good,8.99,Andrew Lang,Dover Publications,0486219097
Maggie-Now,Good,8.69,Betty Smith,Harper Perennial,0062120204
Youngblood Hawke,Good,13.99,Herman Wouk,Back Bay Books,0316955175
The Lion's Paw,Acceptable,25.59,Robb White,Doubleday,B0006AQX2S
Three Lives,Good,5.59,Gertrude Stein,Penguin Publishing Group,0140181849
I'll Be You and You Be Me,Very Good,23.99,Ruth Krauss,Michael Di Capua Books,0060284595
Clock without Hands,Good,6.29,Carson McCullers,Mariner Books Classics,0395929733
Salammbô,Good,5.89,Gustave Flaubert,Penguin Books,0140443282
Recapitulation,Good,8.89,Wallace Stegner,Knopf Doubleday Publishing Group,0525435425
Guard of Honor,Good,6.09,James Gould Cozzens,Harper Paperbacks,0156376091
Zuleika Dobson,Good,6.39,Max Beerbohm,Random House Publishing Group,037575248X
Hungry Hill,Good,10.39,Daphne du Maurier,Virago Press (UK),1844084523
The Notorious Jumping Frog of Calaveras County and Other Stories,Very Good,5.29,Mark Twain,Reader's Digest Association,0895774151
Unterm Rad,Like New,15.99,Hermann Hesse,Happy Hour Books,9358484349
Summer Lightning,Acceptable,9.99,P.G. Wodehouse,W. W. Norton & Company,0393341615
The Secret Garden / A Little Princess / Little Lord Fauntleroy,Good,18.29,Frances Hodgson Burnett,Library of America Young Readers,1598536389
Murphy,Good,9.69,Samuel Beckett,Grove Press,0802144454
Little Tim and the Brave Sea Captain (Little Tim),Good,38.19,Edward Ardizzone,Puffin Books,0140501754
Eugénie Grandet,Good,11.99,Honoré de Balzac,Oxford University Press,0199555893
The Horse's Mouth,New,16.13,Joyce Cary,Lume Books,1839012455
The House Without a Key,Good,7.59,Earl Derr Biggers,Academy Chicago Publishers,0897335791
Tarzan and the Jewels of Opar,Very Good,32.59,Edgar Rice Burroughs,Cosimo Classics,1605202738
"Stiff Upper Lip, Jeeves",Good,7.39,P.G. Wodehouse,Scribner Book Company,0743203607
The Mother,Good,6.39,Pearl S. Buck,CreateSpace Independent Publishing Platform,1986947920
Winner Take Nothing,Very Good,9.89,Ernest Hemingway,Arrow,0099909707
The Norton Book of Classical Literature,Good,7.39,Bernard Knox,W. W. Norton & Company,0393034267
Les Faux-monnayeurs,Good,6.59,André Gide,Knopf Doubleday Publishing Group,0394718429
The Portable James Joyce,Acceptable,4.19,James Joyce,Penguin Publishing Group,0140150307
Cities in Flight,Good,7.79,James Blish,Overlook Press,1585670081
Cecily G. and the 9 Monkeys,Good,5.49,H.A. Rey,Houghton Mifflin Harcourt,0395506514
